@relation vastardisTest

@attribute Temperature numeric
@attribute Humidity numeric
@attribute PeopleInHouse numeric
%@attribute TotalElectricity numeric
%@attribute TotalGas numeric
%@attribute Time date "HH:mm:ss"
@attribute Day numeric {0, 1, 2, 3, 4, 5, 6}
@attribute Month {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}
@attribute class {TurnOn(), TurnOff(), DoNothing()}

@data
22.758766, ?, 3, 0, 0,  TurnOn()
15.578711, ?, 0, 0, 0,  DoNothing()
18.735576, ?, 0, 0, 0,  DoNothing()
16.207746, ?, 0, 0, 0,  DoNothing()
18.986312, ?, 0, 0, 0,  DoNothing()
20.117546, ?, 0, 0, 0,  DoNothing()
18.259577, ?, 0, 0, 0,  DoNothing()
18.551688, ?, 0, 0, 0,  DoNothing()
16.513640, 50.959516, 0, 0, 0,  TurnOff()
14.935355, 49.321881, 0, 0, 0,  DoNothing()
16.971256, 46.987350, 0, 0, 0,  DoNothing()
14.834678, 54.636194, 0, 0, 0,  DoNothing()
16.946538, 52.007418, 0, 0, 0,  DoNothing()
16.829480, 44.080671, 0, 0, 0,  DoNothing()
13.767004, 57.312966, 0, 0, 0,  DoNothing()
13.251813, 42.599079, 0, 0, 0,  DoNothing()
15.339115, 50.484924, 0, 0, 0,  DoNothing()
18.047095, 56.581940, 0, 0, 0,  DoNothing()
13.245813, 49.033697, 0, 0, 0,  DoNothing()
15.965313, 56.201664, 0, 0, 0,  DoNothing()
21.500264, 46.811867, 0, 0, 0,  DoNothing()
15.048792, 57.942968, 0, 0, 0,  DoNothing()
17.167434, 50.504890, 0, 0, 0,  DoNothing()
16.654617, 53.965279, 0, 0, 0,  DoNothing()
17.288907, 45.078332, 0, 0, 0,  DoNothing()
19.272462, 47.666104, 0, 0, 0,  DoNothing()
16.811543, 49.966543, 0, 0, 0,  DoNothing()
20.680886, 41.013543, 0, 0, 0,  DoNothing()
18.923797, 54.351268, 0, 0, 0,  DoNothing()
17.835951, 55.620268, 0, 0, 0,  DoNothing()
16.750012, 46.733905, 0, 0, 0,  DoNothing()
19.749154, 38.648652, 0, 0, 0,  DoNothing()
14.488808, 50.379277, 0, 0, 0,  DoNothing()
21.201425, 57.172973, 0, 0, 0,  DoNothing()
17.130748, 47.921500, 0, 0, 0,  DoNothing()
15.270513, 53.425742, 0, 0, 0,  DoNothing()
18.682190, 55.968479, 0, 0, 0,  DoNothing()
16.719105, 47.110403, 0, 0, 0,  DoNothing()
21.500469, 43.201883, 0, 0, 0,  DoNothing()
18.239414, 50.102543, 0, 0, 0,  DoNothing()
21.656940, 56.652508, 0, 0, 0,  DoNothing()
24.781732, 49.158046, 0, 0, 0,  DoNothing()
19.374021, 40.308904, 0, 0, 0,  DoNothing()
16.788860, 49.848787, 0, 0, 0,  DoNothing()
17.309152, 48.180734, 0, 0, 0,  DoNothing()
19.648502, 50.014297, 0, 0, 0,  DoNothing()
16.275818, 44.017948, 0, 0, 0,  DoNothing()
16.291111, 39.374607, 0, 0, 0,  DoNothing()
18.597056, 50.146026, 0, 0, 0,  DoNothing()
16.789723, 38.102009, 0, 0, 0,  DoNothing()
19.305397, 50.731431, 0, 0, 0,  DoNothing()
16.680486, 54.447271, 0, 0, 0,  DoNothing()
20.428966, 40.555690, 0, 0, 0,  DoNothing()
16.863877, 51.844662, 0, 0, 0,  DoNothing()
17.509441, 50.182946, 0, 0, 0,  DoNothing()
17.697311, 50.347749, 0, 0, 0,  DoNothing()
16.479962, 45.750202, 0, 0, 0,  DoNothing()
